Cuenta: Ayuntamiento de Las Rozas;;;;;;;
Usuario: Santamarta;;;;;;;
Generado: 04/11/2021;;;;;;;
Durante el periodo: Octubre 6  2021 - Noviembre 4  2021;;;;;;;
Filtros:  ;;;;;;;
tipo de residuo: Todos;;;;;;;
Grupos: Todos;;;;;;;
Ruta ordenada: Todos;;;;;;;
;;;;;;;
;;;;;;;
Serie;Descripción;Capacidad;Tipo de flujo;Razón;Nivel de llenado;Tiempo de recolección;Nota
1528820;"Bulevar Camilo José Cela; Barco Pirata";Alto;Botellas/latas;Llenado;80%;10/07/2021 9:36;-
1528804;"Bulevar Camilo José Cela; Barco Pirata";Alto;Residuos;No listo;40%;10/07/2021 9:39;-
1528798;Espíritu De Ermua Marazuela;Alto;Residuos;No listo;40%;10/07/2021 10:42;-
1528792;"Parque Paris; Entrada Avioneta";Alto;Residuos;No listo;0%;10/07/2021 21:07;-
1528797;Calle Real N°35 (Bar La Caleta);Alto;Residuos;No listo;0%;10/08/2021 8:09;-
1528818;"Calle Real; Javerianas";Alto;Residuos;No listo;20%;10/08/2021 8:43;-
1528808;"Calle Real; Banco Sabadell";Alto;Botellas/latas;No listo;40%;10/08/2021 9:07;-
1528807;"Calle Real; Banco Sabadell";Alto;Residuos;Llenado;80%;10/08/2021 9:08;-
1528810;Travesía Heron-las Rozas;Alto;Residuos;Llenado;80%;10/08/2021 14:22;-
1528808;"Calle Real; Banco Sabadell";Alto;Botellas/latas;Llenado;80%;10/15/2021 10:45;-
1528807;"Calle Real; Banco Sabadell";Alto;Residuos;No listo;60%;10/15/2021 10:46;-
1528822;Estación Cercanías Las Matas;Alto;Botellas/latas;No listo;0%;10/15/2021 13:11;-
1528817;Estación Cercanías Las Matas;Alto;Residuos;No listo;0%;10/15/2021 13:15;-
1528822;Estación Cercanías Las Matas;Alto;Botellas/latas;Alerta; Alert - Unknown Fullness;10/15/2021 13:21;-
1528785;Parque Frente Al Zola;Alto;Residuos;Llenado;80%;10/18/2021 10:52;-
1528808;"Calle Real; Banco Sabadell";Alto;Botellas/latas;Llenado;80%;10/20/2021 13:55;-
1528807;"Calle Real; Banco Sabadell";Alto;Residuos;No listo;20%;10/20/2021 13:59;-
1528797;Calle Real N°35 (Bar La Caleta);Alto;Residuos;Llenado;80%;10/21/2021 11:17;-
1528797;Calle Real N°35 (Bar La Caleta);Alto;Residuos;No listo;0%;10/22/2021 10:07;-
1527406;Puntagalea;Alto;Residuos;Llenado;80%;10/22/2021 19:40;-
1528818;"Calle Real; Javerianas";Alto;Residuos;Llenado;80%;10/22/2021 19:58;-
1528809;"Salida San Miguel; Parada BUS";Alto;Residuos;Llenado;80%;10/23/2021 07:22;-
1528807;"Calle Real; Banco Sabadell";Alto;Residuos;No listo;60%;10/24/2021 07:50;-
1528805;"Plaza De España; Bar Los Amigos";Alto;Residuos;Llenado;80%;10/24/2021 09:52;-
1528808;"Calle Real; Banco Sabadell";Alto;Botellas/latas;Llenado;80%;10/25/2021 10:46;-
1528808;"Calle Real; Banco Sabadell";Alto;Botellas/latas;No listo;20%;10/30/2021 07:46;-
1528807;"Calle Real; Banco Sabadell";Alto;Residuos;Llenado;80%;10/30/2021 07:46;-
1528780;Kiosko Cantizal;Alto;Residuos;No listo;60%;11/01/2021 12:35;-
1528819;Mercedes Formica;Alto;Residuos;Llenado;80%;11/02/2021 11:05;-
1528808;"Calle Real; Banco Sabadell";Alto;Botellas/latas;No listo;40%;11/02/2021 12:11;-
1528807;"Calle Real; Banco Sabadell";Alto;Residuos;No listo;0%;11/02/2021 12:12;-
1528780;Kiosko Cantizal;Alto;Residuos;No listo;0%;11/02/2021 18:23;-
1528810;Travesía Heron-las Rozas;Alto;Residuos;Llenado;80%;11/04/2021 7:05;-
