Ubicación,Interior o exterior,Dirección,Ciudad,Latitud,Longitud
Parque Jardín de la Vega 3,Exterior,Avenida Olímpica,Alcobendas,40.5358,-3.6337
Parque Jardín de la Vega 2,Exterior,Avenida Olímpica,Alcobendas,40.5369,-3.6282
Parque Jardín de la Vega 1,Exterior,Avenida Olímpica,Alcobendas,40.5378,-3.6266
Plaza Mayor,Exterior,Plaza Mayor,Alcobendas,40.5475,-3.6412
Campo Fútbol Fuentelucha,Exterior,Calle de la Felicidad,Alcobendas,40.5502,-3.6593
Espacio Miguel Delibes 1,Exterior,Avenida de la Magia nº 4,Alcobendas,40.551816,-3.657152
Parque de Extremadura,Exterior,Parque de Extremadura,Alcobendas,40.552341,-3.64366045
Plaza de Francisco Casillas,Exterior,Plaza de Francisco Casillas,Alcobendas,40.546708,-3.6361406
Plaza de la Artesanía,Exterior,Plaza de la Artesanía,Alcobendas,40.54199,-3.6370968
Plaza del Pueblo,Exterior,Plaza del Pueblo,Alcobendas,40.5474849,-3.6415617
Centro de mayores Urbanizaciones,Interior,Calle de la Salvia nº 135,Alcobendas,40.530523,-3.633698
Centro cultural Anabel Segura,Interior,Avenida de Bruselas nº 19,Alcobendas,40.5313423888376,-3.63668194436938
Pabellon Distrito Centro,Interior,Avenida Olimpica nº 22,Alcobendas,40.536407,-3.635237
Polideportivo José Caballero,Interior,Carretera de Barajas Km. 1.400,Alcobendas,40.537069,-3.620185
Casa de las Asociaciones,Interior,Calle de Soria nº 43,Alcobendas,40.538583,-3.632206
Patronato de Bienestar Social,Interior,Calle de la Libertad nº 6,Alcobendas,40.540504,-3.634668
Sede Distrito Centro,Interior,Plaza del Pueblo nº 1,Alcobendas,40.54097,-3.63407
Centro de Arte,Interior,Calle de Mariano Sebastián Izuel  nº 9,Alcobendas,40.541043,-3.630378
Centro de mayores Nuestra Señora de la Paz,Interior,Calle de Nuestra Señora del Pilar nº 2,Alcobendas,40.541562,-3.632963
Centro de Empresas,Interior,Calle de Ramón Y Cajal nº 5,Alcobendas,40.542647,-3.652755
Centro de mayores Pedro Gonzalez Guerra,Interior,Calle de Orense nº 7,Alcobendas,40.54268,-3.636588
Centro cultural Pablo Iglesias,Interior,Paseo de la Chopera nº 59,Alcobendas,40.542977,-3.643948
Centro de mayores Ramon Rubial,Interior,Calle de Salamanca nº 39,Alcobendas,40.542996,-3.628925
Centro Psicopedagógico,Interior,Calle del Fuego nº 73,Alcobendas,40.546697,-3.636215
Centro de mayores Maria Zambrano,Interior,Calle de Daoiz nº 1,Alcobendas,40.547094,-3.642461
Centro de mayores Carmen Garcia Bloise,Interior,Calle del Olivar nº 5,Alcobendas,40.547261,-3.648177
Ayuntamiento,Interior,"Plaza Mayor, nº 1",Alcobendas,40.547513,-3.6416
Sede central Policía Local,Interior,Avenida de Valdelaparra nº 124,Alcobendas,40.547551,-3.662015
Imagina,Interior,Calle de Ruperto Chapí nº 18,Alcobendas,40.548068664356,-3.64420053461893
Escuela de Música y Danza,Interior,Calle de Ruperto Chapí nº 22,Alcobendas,40.548329,-3.641831
Casa de la Mujer,Interior,Calle de Málaga nº 50,Alcobendas,40.550348,-3.642214
Ciudad Deportiva Valdelasfuentes,Interior,Avenidad de Don Miguel De Cervantes nº 4,Alcobendas,40.55088,-3.64824
Espacio Miguel Delibes 2,Interior,Avenida de la Magia nº 4,Alcobendas,40.551573,-3.657302
Centro de Formación Empleo,Interior,Avenida de Valdelaparra nº 108,Alcobendas,40.546868,-3.661538
"Edificio ""La Esfera"" - Sede Casas Regionales",Interior,Avenida Olímpica nº 14,Alcobendas,40.5369,-3.63223
Teatro Auditorio,Interior,Calle de Blas de Otero nº 4,Alcobendas,40.5481,-3.64249
Plaza de la Moraleja - Zona plaza,Exterior,Plaza de la Moraleja,Alcobendas,40.5158,-3.65165
Plaza de la Moraleja - Zona restauración,Exterior,Plaza de la Moraleja (zona restauración),Alcobendas,40.51523,-3.65206
Plaza Felipe Álvarez de Gadea,Exterior,Plaza Felipe Álvarez de Gadea,Alcobendas,40.54094,-3.63242
Parque Poblado del Oeste - zona1,Exterior,Marqués de la Valdavia,Alcobendas,40.54793,-3.65754
Parque Poblado del Oeste - zona2,Exterior,Marqués de la Valdavia,Alcobendas,40.54841,-3.65864
Parque Poblado del Oeste - zona3,Exterior,Marqués de la Valdavia,Alcobendas,40.54944,-3.65985
"Centro de Día Para Personas Sin Hogar ""Casablanca""",Interior,"José Echegaray, 16",Alcobendas,40.5421333594123,-3.65463871451207
Sede PBS Servicios Sociales ,Interior,"C/ Severo Ochoa, 40",Alcobendas,40.541865,-3.653526
Explanada RENFE Valdelasfuentes,Exterior,Valdelasfuentes,Alcobendas,40.54738,-3.65413
Aulas del Parque de Educación Vial ,Interior,"Calle Manuel de Falla, Parque Infantil de Tráfico",Alcobendas,40.5426486,-3.6487622
Centro Coworking ,Interior,"Bulevar Salvador Allende, 27",Alcobendas,40.5390841,-3.6323887
