ID,ID_recolecciones,Ubicacion,Capacidad,Razon,Porcentaje_llenado,Tiempo_respuestas_h,Recolecciones,Promedio_llenado_dias,Material
1527406,15274062021-10-22T19-40Z,Puntagalea,Alto,Llenado,80,341.52,2021-10-22T19:40:00Z,116.2,Residuos
1528780,15287802021-11-01T12-35Z,Kiosko_Cantizal,Alto,No_listo,60,,2021-11-01T12:35:00Z,,Residuos
1528780,15287802021-11-02T18-23Z,Kiosko_Cantizal,Alto,No_listo,0,,2021-11-02T18:23:00Z,,Residuos
1528785,15287852021-10-18T10-52Z,Parque_Frente_Al_Zola,Alto,Llenado,80,62.4,2021-10-18T10:52:00Z,112.3,Residuos
1528792,15287922021-10-07T21-07Z,Parque_Paris-_Entrada_Avioneta,Alto,No_listo,0,,2021-10-07T21:07:00Z,,Residuos
1528797,15287972021-10-08T08-09Z,Calle_Real_N35_(Bar_La_Caleta),Alto,No_listo,0,,2021-10-08T08:09:00Z,13.1,Residuos
1528797,15287972021-10-21T11-17Z,Calle_Real_N35_(Bar_La_Caleta),Alto,Llenado,80,12,2021-10-21T11:17:00Z,13.1,Residuos
1528797,15287972021-10-22T10-07Z,Calle_Real_N35_(Bar_La_Caleta),Alto,No_listo,0,,2021-10-22T10:07:00Z,13.1,Residuos
1528798,15287982021-10-07T10-42Z,Espiritu_De_Ermua_Marazuela,Alto,No_listo,40,,2021-10-07T10:42:00Z,,Residuos
1528804,15288042021-10-07T09-39Z,Bulevar_Camilo_Jose_Cela-_Barco_Pirata,Alto,No_listo,40,,2021-10-07T09:39:00Z,,Residuos
1528805,15288052021-10-24T09-52Z,Plaza_De_Espana-_Bar_Los_Amigos,Alto,Llenado,80,168,2021-10-24T09:52:00Z,18.3,Residuos
1528807,15288072021-10-08T09-08Z,Calle_Real-_Banco_Sabadell,Alto,Llenado,80,132,2021-10-08T09:08:00Z,4.9,Residuos
1528807,15288072021-10-15T10-46Z,Calle_Real-_Banco_Sabadell,Alto,No_listo,60,,2021-10-15T10:46:00Z,4.9,Residuos
1528807,15288072021-10-20T13-59Z,Calle_Real-_Banco_Sabadell,Alto,No_listo,20,,2021-10-20T13:59:00Z,4.9,Residuos
1528807,15288072021-10-24T07-50Z,Calle_Real-_Banco_Sabadell,Alto,No_listo,60,,2021-10-24T07:50:00Z,4.9,Residuos
1528807,15288072021-10-30T07-46Z,Calle_Real-_Banco_Sabadell,Alto,Llenado,80,144,2021-10-30T07:46:00Z,4.9,Residuos
1528807,15288072021-11-02T12-12Z,Calle_Real-_Banco_Sabadell,Alto,No_listo,0,,2021-11-02T12:12:00Z,4.9,Residuos
1528808,15288082021-10-08T09-07Z,Calle_Real-_Banco_Sabadell,Alto,No_listo,40,,2021-10-08T09:07:00Z,5.2,Botellas/latas
1528808,15288082021-10-15T10-45Z,Calle_Real-_Banco_Sabadell,Alto,Llenado,80,144,2021-10-15T10:45:00Z,5.2,Botellas/latas
1528808,15288082021-10-20T13-55Z,Calle_Real-_Banco_Sabadell,Alto,Llenado,80,12,2021-10-20T13:55:00Z,5.2,Botellas/latas
1528808,15288082021-10-25T10-46Z,Calle_Real-_Banco_Sabadell,Alto,Llenado,80,252,2021-10-25T10:46:00Z,5.2,Botellas/latas
1528808,15288082021-10-30T07-46Z,Calle_Real-_Banco_Sabadell,Alto,No_listo,20,,2021-10-30T07:46:00Z,5.2,Botellas/latas
1528808,15288082021-11-02T12-11Z,Calle_Real-_Banco_Sabadell,Alto,No_listo,40,,2021-11-02T12:11:00Z,5.2,Botellas/latas
1528809,15288092021-10-23T07-22Z,Salida_San_Miguel-_Parada_BUS,Alto,Llenado,80,120,2021-10-23T07:22:00Z,58.4,Residuos
1528810,15288102021-10-08T14-22Z,Travesia_Heron-las_Rozas,Alto,Llenado,80,12,2021-10-08T14:22:00Z,33.3,Residuos
1528810,15288102021-11-04T07-05Z,Travesia_Heron-las_Rozas,Alto,Llenado,80,36,2021-11-04T07:05:00Z,33.3,Residuos
1528817,15288172021-10-15T13-15Z,Estacion_Cercanias_Las_Matas,Alto,No_listo,0,,2021-10-15T13:15:00Z,20.3,Residuos
1528818,15288182021-10-08T08-43Z,Calle_Real-_Javerianas,Alto,No_listo,20,,2021-10-08T08:43:00Z,14.4,Residuos
1528818,15288182021-10-22T19-58Z,Calle_Real-_Javerianas,Alto,Llenado,80,12,2021-10-22T19:58:00Z,14.4,Residuos
1528819,15288192021-11-02T11-05Z,Mercedes_Formica,Alto,Llenado,80,12,2021-11-02T11:05:00Z,43,Residuos
1528820,15288202021-10-07T09-36Z,Bulevar_Camilo_Jose_Cela-_Barco_Pirata,Alto,Llenado,80,28.79,2021-10-07T09:36:00Z,21.7,Botellas/latas
1528822,15288222021-10-15T13-11Z,Estacion_Cercanias_Las_Matas,Alto,No_listo,0,,2021-10-15T13:11:00Z,,Botellas/latas
1528822,15288222021-10-15T13-21Z,Estacion_Cercanias_Las_Matas,Alto,Alerta,0,12,2021-10-15T13:21:00Z,,Botellas/latas
